1,Α. ΓΝΩΣΤΟΣ
2,Χ.Ο.
3,ΣΥΛΛΟΓΙΚΟ ΕΡΓΟ
4,ΛΕΑΝΔΡΟΣ ΝΙΚΟΣ
5,ΠΑΠΑΝΗΣ ΕΥΣΤΡΑΤΙΟΣ
6,TWAY LINDA E.
7,RATHBONE ANDY
8,ΛΑΔΙΑΣ ΤΑΣΟΣ
9,ΤΣΑΟΥΣΙΔΗΣ ΒΑΣΙΛΗΣ Θ.
10,ΚΑΡΑΦΥΛΛΙΔΗΣ ΙΩΑΝΝΗΣ
11,ΠΑΝΤΑΝΟ - ΡΟΚΟΥ ΦΡΑΝΚΑ
12,ΛΑΟΥΤΑΡΗ - ΓΚΡΙΤΖΑΛΑ ΑΝΝΑ
13,ΝΊΚΟΣ ΠΑΝΆΓΟΣ
14,FREIBURG JOACHIM
15,ΣΟΛΩΜΟΣ ΔΙΟΝΥΣΙΟΣ 1798-1857
16,MEEHL BRIAN
17,STAFFORD DAVID
18,ΠΑΠΑΔΑΚΗΣ ΣΠΥΡΙΔΩΝ Χ.
19,ΠΙΕΡΡΑΚΕΑΣ ΧΡΗΣΤΟΣ
20,A. NONYMOUS
21,ΓΡΑΒΒΑΝΗΣ ΓΕΩΡΓΙΟΣ
22,ΣΠΥΡΑΚΗΣ ΠΑΥΛΟΣ Γ.
23,ΠΑΠΑΖΟΓΛΟΥ ΠΑΝΑΓΙΩΤΗΣ Μ.
24,STALLINGS WILLIAM
25,ΑΡΣΕΝΗΣ ΣΠΥΡΟΣ Δ.
26,ΚΑΡΑΜΠΕΤΑΚΗΣ ΝΙΚΟΛΑΟΣ
27,PREPPERNAU JOAN
28,BARRETT COLIN
29,HOWITT DENNIS
30,ΝΙΚΗΤΑ ΜΑΡΓΑΡΙΤΑ
31,ΓΟΥΛΤΙΔΗΣ ΧΡΗΣΤΟΣ
32,KIRK DAVID B.
33,ΠΑΠΑΔΑΚΗΣ ΣΤΕΛΙΟΣ
34,ΚΑΠΠΟΣ ΓΙΑΝΝΗΣ Θ.
35,MCFEDRIES PAUL
36,DOUGLAS Ε. COMER
37,"KENNETH C. LAUDON, JANE P. LAUDON"
38,STEPHANIE MILTON
39,BRETT T. ROBINSON
40,PIERRO MARTIN T.
41,COOKE C. W.
42,GROSS PHILL
43,STEINMETZ RALF
44,MEYERS MIKE
45,SCHILDT HERBERT
46,MORRISON MICHAEL
47,MELONIE JULIE C.
48,JOHNSON STEVE
49,ΣΑΓΟΣ ΓΕΩΡΓΙΟΣ Α.
50,Κ.Α.
51,ΠΑΠΑΜΑΡΚΟΣ ΝΙΚΟΛΑΟΣ Η.
52,ΠΟΛΛΑΛΗΣ ΓΙΑΝΝΗΣ Α.
53,ΠΟΓΑΡΙΔΗΣ ΔΗΜΗΤΡΗΣ
54,ΧΡΗΣΤΟΣ ΓΟΥΛΤΙΔΗΣ
55,ΔΑΣΚΑΛΑΚΗΣ ΔΗΜΟΣΘΕΝΗΣ Ι.
56,ΜΗΤΡΟΥ ΛΙΛΙΑΝ
57,ΣΙΔΕΡΗ ΜΕΛΠΟΜΕΝΗ
58,ΧΑΤΖΗΠΕΡΗΣ ΝΙΚΟΣ
