1,OLD BOY: ΠΛΕΙ ΜΟΛΕΞΕΙΣ,,-
2,ΑΚΑΔΗΜΙΑ ΜΑΓΙΣΣΩΝ,,-
3,AQUAMAN,,-
4,SUPERMAN,,-
5,SUPERBOY,,-
6,ΚΑΛΩΣ ΗΡΘΕΣ ΑΔΕΡΦΑΚΙ (CD)(ΚΑΣΤΑΝΙΩΤΗΣ),"Πως ήρθα στον κόσμο;  Τι πρέπει λοιπόν να πείτε στα παιδιά σας όταν φτάσει εκείνη η στιγμή και σας κάνουν εντελώς απονήρευτα αυτή την ερώτηση; Ναι, καλά μαντέψατε. Τότε είναι η πιο κατάλληλη στιγμή να μάθετε στα παιδιά σας όλα γύρω από το σεξ, καθώς και ό,τι έχει σχέση με την ανάπτυξή τους.  Το Καλώς ήρθες αδερφάκι απευθύνεται σε παιδιά από 5 έως 10 χρόνων και αποτελείται από 3 ανεξάρτητες ενότητες:  Το Αβγονήσι.  Σ' αυτή την ενότητα θα μάθουν τα παιδιά, μέσα από διαλογικά παιχνίδια, κάθε τι σχετικά με την ανάπτυξή τους. Θα μάθουν τις διαφορές μεταξύ αγοριών και κοριτσιών, το αναπαραγωγικό σύστημα των ζώων και των φυτών, τι συμβαίνει στη διάρκεια της εγκυμοσύνης, πώς φαίνονται το σπερματοζωάριο, το ωάριο και το έμβρυο κ.λπ. Όλα αυτά είναι πράγματα τα οποία θα πρέπει να μάθουν τα παιδιά καθώς μεγαλώνουν. Χάρη στον τρόπο σχεδιασμού του παιχνιδιού, το παιδί δε θα αργήσει να κάνει κτήμα του αυτές τις τόσο σημαντικές γνώσεις, κατανοώντας μάλιστα τα σχετικά θέματα με κάθε λεπτομέρεια και ακρίβεια.  Ερωτήσεις και απαντήσεις.  Αυτή η ενότητα είναι ειδικά σχεδιασμένη για γονείς. Περιλαμβάνει 100 συχνές ερωτήσεις των παιδιών με τις αντίστοιχες απαντήσεις που μπορούν να δώσουν οι γονείς στα παιδιά τους, εάν ρωτηθούν.  Εικονογραφημένο ημερολόγιο.  Αυτή η ενότητα δίνει στα παιδιά τη δυνατότητα να καταχωρήσουν ό,τι συμβαίνει στην καθημερινή τους ζωή και τα απασχολεί. Το μόνο που έχουν να κάνουν είναι να επιλέγουν και να μετακινούν κάθε φορά τα εικονίδια της αρεσκείας τους πάνω στη σελίδα του ημερολογίου. Η ενότητα αυτή του ημερολογίου μπορεί να τρέξει και ως ανεξάρτητο πρόγραμμα.",-
7,ΤΟ ΔΙΑΔΙΚΤΥΟ,"Η ανάδειξη του διαδικτύου σε βασική υποδομή τής υπό διαμόρφωση Κοινωνίας της Πληροφορίας οδηγεί στην εμφάνιση νέων επικοινωνιακών δυνατοτήτων και κυρίως νέων οργανωτικών και επιχειρηματικών προτύπων. Μια επανάσταση ""από τα κάτω"" οδήγησε τελικά στη μετατροπή ενός συστήματος ενδοεπικοινωνίας κυρίως μεταξύ των μελών της ακαδημαϊκής κοινότητας των ΗΠΑ σε ένα παγκόσμιο επικοινωνιακό σύστημα, που επηρεάζει ουσιαστικά την κοινωνική λειτουργία και τον οικονομικό μηχανισμό.  Το παρόν βιβλίο εξετάζει τη διαδικασία ανάπτυξης και αλλαγής του διαδικτύου και τη συζήτηση σχετικά με τις δυνατότητες που δημιουργεί και τα προβλήματα που θέτει η μετάβαση στη δικτυακή οικονομία. Στο πλαίσιο αυτό αναλύονται τα χαρακτηριστικά του ανταγωνισμού στις νέες δικτυακές αγορές και οι αλλαγές στις στρατηγικές απόκτησης ανταγωνιστικού πλεονεκτήματος. Η ενίσχυση της αποτελεσματικότητας του οργανωτικού συντονισμού επιτρέπει την απόκτηση οικονομιών ταχύτητας κυρίως μέσω της οριζόντιας επέκτασης των επιχειρήσεων, της διάδοσης των σχέσεων υπεργολαβίας και της δημιουργίας μιας δυνητικής αξιακής αλυσίδας.  Οι εξελίξεις αυτές ενισχύουν την ευελιξία των επιχειρήσεων, αλλά πολλαπλασιάζουν τις πιέσεις στην αγορά εργασίας, ιδίως στις παραδοσιακές βιομηχανικές οικονομίες της Ευρώπης. Επιπλέον, οι διαφορές ως προς το επίπεδο οικονομικής και κοινωνικής ανάπτυξης καθορίζουν σε μεγάλο βαθμό την ικανότητα της κάθε χώρας να συμμετέχει στη διαδικασία των τεχνολογικών αλλαγών και να αξιοποιεί τις δυνατότητες που προσφέρει το διαδίκτυο. Υπό αυτές τις συνθήκες, η μετάβαση στην Κοινωνία της Πληροφορίας διαμορφώνει προϋποθέσεις για περαιτέρω επιδείνωση των διεθνών ανισοτήτων.",-
8,ΛΟΓΟΤΕΧΝΙΑ ΤΟΥ FACEBOOK,"Ανθρώπινοι χαρακτήρες που σκιαγραφούνται μέσα από την κοινωνική τους δράση, τις εμπειρίες και τα βιώματα.   Προσωπικότητες και ψυχολογικές εκφάνσεις που αναδύονται καθημερινά στις σελίδες του Facebook.  Αναστήσεις που θα μπορούσαν να λησμονηθούν από τη ροή του χρόνου, αν δεν αποτελούσαν μια ψηφιακή μαρτυρία της ύπαρξης και της μοναχικής πορείας της προς την αυτογνωσία",-
9,ΔΟΥΛΕΨΤΕ ΜΕ ΤΑ ΠΟΛΥΜΕΣΑ (TWAY/ΚΛΕΙΔΑΡΙΘΜΟΣ),,-
10,ΔΟΜΗΜΕΝΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΜΕ PASCAL,"Περιλαμβάνει τα εξής: εισαγωγή στην πληροφορική, ιστορική αναδρομή, δομημένο σχεδιασμό και προγραμματισμό, βασικούς τύπους και βασικές δομές ελέγχου της Pascal, υλοποίηση και έλεγχο προγραμμάτων, στυλ προγραμματισμού, δομημένους τύπους της τυποποιημένης και της TURBO Pascal, αντικειμενοστρεφή προγραμματισμό στην οbject-οriented TURBO Pascal, και λεπτομερειακή εισαγωγή στο λειτουργικό σύστημα UNIX και το συντάκτη του ed. Με πολλές εφαρμογές στις φυσικές και εμπορικές επιστήμες και δεκάδες λυμένες ασκήσεις και παραδείγματα.  ",-
11,ΠΟΛΥΜΕΣΑ & CD-ROM ΓΙΑ ΠΡΩΤΑΡΗΔΕΣ (RATHBONE/ΚΛΕΙΔΑΡ,,-
